,category,group,year,num,dem_margin,turnout
0,state,AK,2004,324078.0,-0.2531211621893495,0.4335526439008206
1,state,AK,2008,331335.0,-0.212199133807174,0.4432610830321046
2,state,AK,2012,308459.0,-0.14102036251171143,0.4049724358949111
3,state,AK,2016,325748.0,-0.13804843007478174,0.42696747031853344
4,state,AK,2020,349411.0,-0.10203456674231778,0.6614525753055384
5,state,AL,2004,1883415.0,-0.25616287435323604,0.549081373246417
6,state,AL,2008,2099819.0,-0.21576478734595697,0.6121707112287617
7,state,AL,2012,2070353.0,-0.22229494197366342,0.5750788862593469
8,state,AL,2016,2123367.0,-0.2772497641717141,0.5783983885004964
9,state,AL,2020,2309900.0,-0.25571929520758474,0.6292093818907879
10,state,AR,2004,1053694.0,-0.09883229856106232,0.5096168541608226
11,state,AR,2008,1086617.0,-0.19851244734805365,0.5255399928420116
12,state,AR,2012,1069468.0,-0.23687945782389,0.4968838711176156
13,state,AR,2016,1129896.0,-0.26938585498134343,0.5145562227186098
14,state,AR,2020,1212124.0,-0.27885018364457764,0.5520029692171422
15,state,AZ,2004,2012585.0,-0.10472601157218205,0.49237071686148637
16,state,AZ,2008,2293475.0,-0.0851999694786296,0.5610893104409987
17,state,AZ,2012,2299254.0,-0.09064766224175319,0.5173571124806772
18,state,AZ,2016,2628756.0,-0.03470614998120784,0.5462055037026571
19,state,AZ,2020,3385845.0,0.0030884461633654227,0.7035141997523251
20,state,CA,2004,12383678.0,0.09979741075308968,0.5643583230775646
21,state,CA,2008,13561900.0,0.24057779514669772,0.6180531455796593
22,state,CA,2012,13038547.0,0.23118580620984838,0.5459734264718168
23,state,CA,2016,14181595.0,0.3010929306611844,0.5620339615806993
24,state,CA,2020,16909159.0,0.29723080846303473,0.6701306601808849
25,state,CO,2004,2129028.0,-0.04668985095545949,0.6328961977677994
26,state,CO,2008,2400762.0,0.08959280428463963,0.7136745695901687
27,state,CO,2012,2569217.0,0.053692623083219516,0.6983247329860578
28,state,CO,2016,2779714.0,0.04904677243774,0.6986251000606961
29,state,CO,2020,3019124.0,0.1508775393127278,0.8062984303330952
30,state,CT,2004,1578769.0,0.1036643106116221,0.6416495121896699
31,state,CT,2008,1647085.0,0.22600533670089887,0.6694147698522852
32,state,CT,2012,1533545.0,0.1744089674577531,0.5980528267745093
33,state,CT,2016,1644920.0,0.13639386717895094,0.6324231635768056
34,state,CT,2020,1823932.0,0.20034409177535129,0.7012479911418004
35,state,DC,2004,227586.0,0.7984410288857838,0.529134407477157
36,state,DC,2008,265853.0,0.8592455229017539,0.6181046708981424
37,state,DC,2012,293764.0,0.8363482251058673,0.6179301640723601
38,state,DC,2016,311268.0,0.867763470706915,0.6089086249731019
39,state,DC,2020,333682.0,0.866372774078314,0.6527553355895068
40,state,DE,2004,375170.0,0.07593890769517819,0.6015472802340963
41,state,DE,2008,412412.0,0.24995635432528637,0.6612610734757687
42,state,DE,2012,413937.0,0.18626022800571101,0.613844750754447
43,state,DE,2016,442997.0,0.1139420808718795,0.6291632640018179
44,state,DE,2020,504010.0,0.18980774190988273,0.7158165330454975
45,state,FL,2004,7609810.0,-0.050064062046227174,0.6071300064544078
46,state,FL,2008,8391639.0,0.028141582353578366,0.6695063135916746
47,state,FL,2012,8474179.0,0.008768873067231646,0.6197506422993916
48,state,FL,2016,9420039.0,-0.011986256107856879,0.639769453036736
49,state,FL,2020,11067083.0,-0.033583194415366724,0.7516297583929492
50,state,GA,2004,3298790.0,-0.16615334713637425,0.5093964063571284
51,state,GA,2008,3925278.0,-0.052125480029694714,0.6061381619177625
52,state,GA,2012,3900050.0,-0.07816848501942283,0.5666325965024688
53,state,GA,2016,4114711.0,-0.05131368885931478,0.5671778747875518
54,state,GA,2020,4992772.0,0.002845112895201303,0.6882111069911823
55,state,HI,2004,428555.0,0.08684766249372892,0.47226553675429367
56,state,HI,2008,452742.0,0.4522929173789929,0.4989194937434225
57,state,HI,2012,434221.0,0.42680800790380935,0.43897066256899653
58,state,HI,2016,428937.0,0.3218281472570564,0.42198064900121496
59,state,HI,2020,574341.0,0.29472038388344207,0.5650265375288371
60,state,IA,2004,1506908.0,-0.006675258210852952,0.6828939795617792
61,state,IA,2008,1536820.0,0.09536640595515415,0.6964493689529377
62,state,IA,2012,1582180.0,0.0581014802361299,0.6958384184890766
63,state,IA,2016,1566031.0,-0.09406838051098605,0.6771645269671327
64,state,IA,2020,1688233.0,-0.0820834564897144,0.7300056645464255
65,state,ID,2004,598376.0,-0.3812602778186291,0.5774715305925497
66,state,ID,2008,655032.0,-0.25429597332649395,0.6321482339316734
67,state,ID,2012,652274.0,-0.3190744993668305,0.5841085340736097
68,state,ID,2016,690433.0,-0.31761228098888666,0.5788629542062813
69,state,ID,2020,867371.0,-0.30752584534184335,0.7276083500757077
70,state,IL,2004,5275415.0,0.1033816296916925,0.6040505415989191
71,state,IL,2008,5523051.0,0.25133680641370143,0.6324055923237227
72,state,IL,2012,5241891.0,0.1687196471654981,0.5863471779917248
73,state,IL,2016,5558707.0,0.16995211296439983,0.6138724372318515
74,state,IL,2020,5939321.0,0.16575244880685855,0.6561444345631003
75,state,IN,2004,2468002.0,-0.20681790371320607,0.5355936175869009
76,state,IN,2008,2751054.0,0.010320044608357379,0.5970201661250333
77,state,IN,2012,2624534.0,-0.10198229476166054,0.54984847675404
78,state,IN,2016,2734958.0,-0.19165193761659227,0.5608772377756108
79,state,IN,2020,3034891.0,-0.1606986873663667,0.6223866256922633
80,state,KS,2004,1187756.0,-0.2538088630998286,0.5989586668919107
