category,group,year,num,dem_margin,turnout
state,AK,2004,312598.0,-0.25548468000435065,0.5681647579286391
state,AK,2008,326197.0,-0.21535145939416975,0.5928817188275302
state,AK,2012,300495.0,-0.1398891828483003,0.5461668626599223
state,AK,2016,318608.0,-0.14730640787425303,0.5790882769375615
state,AL,2004,1883415.0,-0.25616287435323604,0.549081373246417
state,AL,2008,2099819.0,-0.21576478734595694,0.6121707112287617
state,AL,2012,2074338.0,-0.22186789231070347,0.5606552272716215
state,AL,2016,2123372.0,-0.27725146606435425,0.5630492779355967
state,AR,2004,1054945.0,-0.09758328633246284,0.5102218976407658
state,AR,2008,1086617.0,-0.19851244734805365,0.5255399928420116
state,AR,2012,1069468.0,-0.23687945782389,0.4775474536515054
state,AR,2016,1130635.0,-0.2692097803446736,0.4945981284944183
state,AZ,2004,2012753.0,-0.1048007380935465,0.4924118173767107
state,AZ,2008,2293475.0,-0.0851999694786296,0.5610893104409987
state,AZ,2012,2306559.0,-0.09036057607891236,0.466984919597235
state,AZ,2016,2554240.0,-0.03571864820846905,0.4816782401274197
state,CA,2004,12419372.0,0.09949448329593476,0.5659849969933375
state,CA,2008,13561900.0,0.2405777951466977,0.6180531455796593
state,CA,2012,13055815.0,0.23088003314997954,0.4524648855622945
state,CA,2016,14236960.0,0.2999220339173532,0.468293524982594
state,CO,2004,2129702.0,-0.04668822210806958,0.6330965577617945
state,CO,2008,2400762.0,0.08959280428463963,0.7136745695901687
state,CO,2012,2571196.0,0.053637295639850084,0.6497396817150001
state,CO,2016,2779568.0,0.04910583227321656,0.6475783097443066
state,CT,2004,1578769.0,0.1036643106116221,0.6416495121896699
state,CT,2008,1646792.0,0.2236736637049488,0.6692956876388192
state,CT,2012,1558075.0,0.1734255411324872,0.5567587906837798
state,CT,2016,1634650.0,0.1361373994433059,0.5768516845558385
state,DC,2004,227586.0,0.7984410288857838,0.529134407477157
state,DC,2008,265853.0,0.8592455229017539,0.6181046708981424
state,DC,2012,293764.0,0.8363482251058673,0.5567666429755982
state,DC,2016,311511.0,0.8670865555309444,0.5525154973794131
state,DE,2004,375130.0,0.07595233652333858,0.6014831442658436
state,DE,2008,412412.0,0.2499563543252864,0.6612610734757687
state,DE,2012,413921.0,0.18626742784251105,0.580837407455222
state,DE,2016,441590.0,0.11430512466314907,0.5880488613619446
state,FL,2004,7609790.0,-0.05006682181768485,0.6071284108035141
state,FL,2008,8390744.0,0.028179861046886905,0.6694349082141715
state,FL,2012,8492175.0,0.008750290708799572,0.5536684866763063
state,FL,2016,9420039.0,-0.01198625610785688,0.5712022484173761
state,GA,2004,3301880.0,-0.16599664433595407,0.5098735615854525
state,GA,2008,3924472.0,-0.05214357498282572,0.6060137000685621
state,GA,2012,3908369.0,-0.07800210266737864,0.5259735479662639
state,GA,2016,4092373.0,-0.051593781896225,0.5233251030953674
state,HI,2004,428552.0,0.0868482704549273,0.4722622307688069
state,HI,2008,452742.0,0.4522929173789929,0.4989194937434225
state,HI,2012,434221.0,0.42680800790380935,0.39991434768393375
state,HI,2016,428937.0,0.3218281472570564,0.3794254001137559
state,IA,2004,1506898.0,-0.006681938658090992,0.6828894478054971
state,IA,2008,1536820.0,0.09536640595515417,0.6964493689529377
state,IA,2012,1582180.0,0.0581014802361299,0.6726832800250676
state,IA,2016,1566031.0,-0.09406838051098604,0.6502133288602642
state,ID,2004,598376.0,-0.3812602778186291,0.5774715305925497
state,ID,2008,655032.0,-0.25429597332649395,0.6321482339316734
state,ID,2012,656742.0,-0.31690374606771005,0.5620702581403828
state,ID,2016,690433.0,-0.31761228098888666,0.5564866607560248
state,IL,2004,5274322.0,0.10344533382679327,0.60392538988252
state,IL,2008,5522371.0,0.2513719197786603,0.6323277303226693
state,IL,2012,5251432.0,0.1683914025736218,0.5349003711603735
state,IL,2016,5571945.0,0.16954833545557252,0.562172140786163
state,IN,2004,2468002.0,-0.20681790371320607,0.5355936175869009
state,IN,2008,2704125.0,0.0066753570933296355,0.5975425431065915
state,IN,2012,2633143.0,-0.1020062336151132,0.5320662102555699
state,IN,2016,2740611.0,-0.1890673284169114,0.5410505609581646
state,KS,2004,1187756.0,-0.2538088630998286,0.5989586668919107
state,KS,2008,1235808.0,-0.14961061912530102,0.6231902109645064
state,KS,2012,1157532.0,-0.21589122374154668,0.5359668992289699
state,KS,2016,1147143.0,-0.2102797994670237,0.5206039523754417
state,KY,2004,1795854.0,-0.1986275053539987,0.5657542769743547
state,KY,2008,1826508.0,-0.16231902625118533,0.5754113156904039
state,KY,2012,1798048.0,-0.22681263236576554,0.5342956341070013
state,KY,2016,1923346.0,-0.29849439466429856,0.5610283494411582
state,LA,2004,1913268.0,-0.1422848236629683,0.5975769198334641
state,LA,2008,1960761.0,-0.18629807508411275,0.6071877370906558
state,LA,2012,1994065.0,-0.17207112105172098,0.5715195906746177
state,LA,2016,2029032.0,-0.19639118555054824,0.5671172228743921
state,MA,2004,2912388.0,0.2515773997145985,0.6301864991009354
state,MA,2008,3080985.0,0.2581132332679322,0.6666677485735059
state,MA,2012,3184196.0,0.2301918600488161,0.6058600028198156
state,MA,2016,3325046.0,0.2719670645157992,0.6099224666280724
state,MD,2004,2386678.0,0.12979966296249432,0.6068316545957745
state,MD,2008,2631593.0,0.25444854124478977,0.6691032197944834
state,MD,2012,2707327.0,0.2607645844037311,0.5959085594445491
state,MD,2016,2780914.0,0.26421421158655034,0.592814844832684
state,ME,2004,740742.0,0.08997869703621504,0.7265738106915155
state,ME,2008,731063.0,0.17310409636378807,0.7170799411476214
state,ME,2012,721691.0,0.14939496266407645,0.6785628992495003
state,ME,2016,743941.0,0.026578720624350585,0.6921791509153958
state,MI,2004,4839252.0,0.034186481712462996,0.6603962990256285
state,MI,2008,5001766.0,0.16472981742848425,0.682574033134092
state,MI,2012,4745316.0,0.09468558047556792,0.6229948974273403
state,MI,2016,4799284.0,-0.002230332691293118,0.6199574439061493
state,MN,2004,2828387.0,0.0347615089448509,0.7519076247835039
state,MN,2008,2910370.0,0.10237358136594316,0.7737022528887193
state,MN,2012,2936561.0,0.07694102046577612,0.7157332024331254
state,MN,2016,2944813.0,0.015201304802715828,0.6951786710833578
state,MO,2004,2731364.0,-0.07195745422433626,0.6250275172254399
state,MO,2008,2924975.0,-0.0013220625817314678,0.6693321952681814
state,MO,2012,2763689.0,-0.0935865070201459,0.5981314297166259
state,MO,2016,2808602.0,-0.1863713691010688,0.5956930106760601
state,MS,2004,1152142.0,-0.19692624693831146,0.5420900831384653
state,MS,2008,1289865.0,-0.13174634554778988,0.6068896239243049
state,MS,2012,1285584.0,-0.1149648719959178,0.5729446091685648
state,MS,2016,1211088.0,-0.17800770877095634,0.5338055986893402
state,MT,2004,450434.0,-0.20503114773751535,0.6178835245783578
state,MT,2008,485542.0,-0.0203504537197606,0.6672603464506331
state,MT,2012,484484.0,-0.13641110955160546,0.6193040045813393
state,MT,2016,494525.0,-0.20531014609979276,0.6066280423403742
state,NC,2004,3501006.0,-0.12434026105639352,0.5420697087135118
state,NC,2008,4310789.0,0.003288725103455539,0.6674504806776711
state,NC,2012,4505372.0,-0.020420955250753988,0.6035041338963966
state,NC,2016,4741561.0,-0.03655125390140505,0.6038102912705678
state,ND,2004,312874.0,-0.2735893682440855,0.6400400953286897
state,ND,2008,316581.0,-0.08618015610538851,0.6476234312191229
state,ND,2012,322627.0,-0.19631338976589066,0.5919468209831806
state,ND,2016,344360.0,-0.3572888837263329,0.5783907984198221
state,NE,2004,777920.0,-0.3320007198683669,0.6132815117603699
state,NE,2008,801018.0,-0.14916269047636882,0.631491065903008
state,NE,2012,794379.0,-0.21775877761119064,0.5702464744498562
state,NE,2016,828396.0,-0.2554514990415212,0.5767212085305582
state,NH,2004,677738.0,0.01368375389899932,0.6870823195458232
state,NH,2008,707611.0,0.09651065345224988,0.717367193836172
state,NH,2012,710972.0,0.055758876580231015,0.6799746744887556
state,NH,2016,732267.0,0.0037363420719491655,0.6826334075690611
state,NJ,2004,3611495.0,0.06684960106548674,0.6213346110438229
state,NJ,2008,3868237.0,0.1556820329261108,0.6655054296961022
state,NJ,2012,3651140.0,0.17744074453458372,0.5337780387194263
state,NJ,2016,3906709.0,0.13984788731384906,0.5587356901807938
state,NM,2004,758657.0,-0.0037790463938248775,0.5626954841628624
state,NM,2008,829532.0,0.15151675884715718,0.6152634331042718
state,NM,2012,783156.0,0.10165790723687236,0.4981198607831963
state,NM,2016,798318.0,0.08213268396804281,0.5013039385663771
state,NV,2004,829587.0,-0.025916510263540773,0.5103266486220472
state,NV,2008,961581.0,0.12573979727136872,0.5915237450787402
state,NV,2012,1014918.0,0.06680933829136937,0.4839903098742001
state,NV,2016,1096522.0,0.024807527801539782,0.4832884285926474
state,NY,2004,7391249.0,0.18288018709693046,0.5639589638490142
state,NY,2008,7640640.0,0.2685603562005277,0.582987722040393
state,NY,2012,7081536.0,0.28177234430496434,0.4617851349437357
state,NY,2016,7656826.0,0.2256837232555631,0.4892587468889478
state,OH,2004,5627868.0,-0.021084538585482104,0.6572059334429091
state,OH,2008,5688361.0,0.043619770264229016,0.664270128717525
state,OH,2012,5590934.0,0.029739574818804876,0.6293859974990871
state,OH,2016,5607641.0,-0.07968430932008665,0.6220930845289812
state,OK,2004,1421940.0,-0.31135350296074377,0.553034428040262
state,OK,2008,1462661.0,-0.31290162245387004,0.5620593123456908
state,OK,2012,1334872.0,-0.3354463948603312,0.4639016865051439
state,OK,2016,1452992.0,-0.3639118453508347,0.4883842559913952
state,OR,2004,1836782.0,0.041557462997786336,0.6897118599835156
state,OR,2008,1827864.0,0.1634782456462844,0.6863631499203001
state,OR,2012,1789270.0,0.1208945547625568,0.5886614398084984
state,OR,2016,2001336.0,0.10977816818365332,0.6213036929232321
state,PA,2004,5765764.0,0.025018020161768673,0.6126309570864519
state,PA,2008,5995137.0,0.10349688422466408,0.6370025755779112
state,PA,2012,5755620.0,0.05383260187434195,0.5736854748118904
state,PA,2016,6163006.0,-0.007189997867923542,0.6081753169480425
state,RI,2004,436289.0,0.20792181329348208,0.5744386146239985
state,RI,2008,403879.0,0.2927758066153477,0.6110305909407244
state,RI,2012,445716.0,0.2742957398881799,0.5335481654478615
state,RI,2016,463394.0,0.15403522704221462,0.5462574280301825
state,SC,2004,1617730.0,-0.1707794254912748,0.4991129855825448
state,SC,2008,1905795.0,-0.09268520486201297,0.5895229330838057
state,SC,2012,1964118.0,-0.10473097848499938,0.5389258623599089
state,SC,2016,2103027.0,-0.14265912896030342,0.544066069417593
state,SD,2004,388215.0,-0.21467485800394112,0.6568114912191656
state,SD,2008,381975.0,-0.08411545258197528,0.6462541873921429
state,SD,2012,361399.0,-0.17903757342992094,0.5767370381423079
state,SD,2016,370047.0,-0.29795944839439314,0.5679321760243351
state,TN,2004,2437319.0,-0.14273798382567074,0.5375239422672955
state,TN,2008,2522110.0,-0.1512344822390776,0.5612746298018934
state,TN,2012,2460904.0,-0.20383606999704174,0.4958217180399106
state,TN,2016,2508027.0,-0.2600570089556452,0.4866720624330663
state,TX,2004,7410079.0,-0.2285516794085461,0.4974409253242394
state,TX,2008,8077795.0,-0.1176923900643678,0.5422649096425982
state,TX,2012,7999657.0,-0.1577216373151999,0.4187255937940531
state,TX,2016,8969226.0,-0.08999427598323423,0.43386720050965655
state,UT,2004,927844.0,-0.4554030634460104,0.5445157807016514
state,UT,2008,952370.0,-0.2817812404842656,0.5589091421260813
state,UT,2012,1020861.0,-0.4787987786779983,0.518871765314011
state,UT,2016,1131317.0,-0.18079547995831408,0.5315862157109019
state,VA,2004,3198852.0,-0.08197222003393717,0.5817448424360578
state,VA,2008,3723197.0,0.0629738367322492,0.6771024893066022
state,VA,2012,3851684.0,0.03884015407286786,0.6084108165110211
state,VA,2016,3982752.0,0.053237058194936564,0.6065107955136422
state,VT,2004,312309.0,0.20136147213176692,0.6510438707122086
state,VT,2008,325046.0,0.3700645447105948,0.6775956056326284
state,VT,2012,299290.0,0.35597915065655383,0.5967003937596571
state,VT,2016,313080.0,0.26575955027469017,0.6173784095032261
state,WA,2004,2859084.0,0.07180866319422584,0.6306418064191671
state,WA,2008,3036878.0,0.17176587271533464,0.6698586777424613
state,WA,2012,3145958.0,0.14772161611820628,0.5925104622999355
state,WA,2016,3294874.0,0.15811560624169546,0.5823620447327713
state,WI,2004,2997004.0,0.003798460062115366,0.7212806384420166
state,WI,2008,2983417.0,0.13889040653720214,0.7180106928448431
state,WI,2012,3068434.0,0.06942270878239519,0.6958750740736793
state,WI,2016,2975313.0,-0.007453669580309702,0.6618074718766974
state,WV,2004,755792.0,-0.12865576772445328,0.5343873182424
state,WV,2008,713362.0,-0.13122229667405888,0.5043869293615637
state,WV,2012,672119.0,-0.26689618951405925,0.4565473740267821
